CYCLE	LEAVES	SPROUTS	FLOWERS	FRUITS	mineral
163	85.617116	14.398971	41.668231	0	15.197469
164	85.445882	13.114889	42.952313	0	15.297469
165	85.27499	11.94532	44.121881	0	15.397469
166	85.10444	10.880052	45.18715	0	15.497469
167	84.934231	9.909782	46.157418	0	15.597469
168	84.764363	9.026041	47.04116	0	15.697469
169	84.594834	8.257162	47.810039	0	15.810905
170	84.425644	8.257162	46.939381	0.870657	13.598935
171	84.256793	8.257162	46.121223	1.688814	11.498935
172	84.088279	8.257162	45.317326	2.492712	9.398935
173	83.920103	8.257162	44.527439	3.282597	7.298935
174	83.752263	8.257162	43.75132	4.058714	5.198935
175	83.584758	8.257162	42.988731	4.821304	3.098935
176	83.417589	8.257162	42.239433	5.570601	0.998935
177	83.250753	8.257162	41.827454	5.98258	-0
178	83.084252	8.257162	41.710804	6.099229	-0
179	82.918083	8.257162	41.594479	6.215553	-0
180	82.752247	8.257162	41.478477	6.331552	-0
181	82.586743	8.257162	41.362801	6.447228	-0
182	82.421569	8.257162	41.247448	6.562581	-0
183	82.256726	8.257162	41.132416	6.677613	-0
184	82.092213	8.257162	41.017704	6.792324	-0
185	81.928028	8.257162	40.903313	6.906715	-0
186	81.764172	8.257162	40.789242	7.020786	-0
187	81.600644	8.257162	40.675488	7.13454	-0
188	81.437443	8.257162	40.56205	7.247976	-0
189	81.274568	8.257162	40.448929	7.361096	-0
190	81.112019	8.257162	40.336124	7.473901	-0
191	80.949795	8.257162	40.223633	7.586391	-0
192	80.787895	8.257162	40.111458	7.698567	-0
193	80.626319	8.257162	39.999596	7.810431	-0
194	80.465067	8.257162	39.888042	7.921982	-0
195	80.304136	8.257162	39.776802	8.033223	-0
196	80.143528	8.257162	39.665871	8.144153	-0
197	79.983241	8.257162	39.555248	8.254774	-0
198	79.823275	8.257162	39.444935	8.365086	-0
199	79.663628	8.257162	39.33493	8.475091	-0
200	79.504301	8.257162	39.225231	8.584788	-0
201	79.345292	8.257162	39.115841	8.69418	-0
202	79.186602	8.257162	39.006756	8.803267	-0
203	79.028228	8.257162	38.897972	8.91205	-0
204	78.870172	8.257162	38.789494	9.020529	-0
205	78.712432	8.257162	38.681316	9.128706	-0
206	78.555007	8.257162	38.573441	9.236581	-0
