CYCLE	LEAVES	SPROUTS	FLOWERS	FRUITS	mineral
164	85.473531	13.519788	42.067796	0	14.642857
165	85.302584	12.303708	43.283876	0	14.742857
166	85.131979	11.197012	44.390572	0	14.842857
167	84.961715	10.189861	45.397722	0	14.942857
168	84.791791	9.273302	46.314281	0	15.042857
169	84.622208	8.439186	47.148398	0	15.142857
170	84.452963	8.439186	46.315063	0.833333	13.042857
171	84.284057	8.439186	45.49646	1.651938	10.942857
172	84.115489	8.439186	44.692326	2.456074	8.842857
173	83.947258	8.439186	43.902401	3.245997	6.742857
174	83.779364	8.439186	43.126438	4.021958	4.642857
175	83.611805	8.439186	42.364193	4.784204	2.542857
176	83.444582	8.439186	41.615417	5.532978	0.442857
177	83.277692	8.439186	41.367435	5.78096	0
178	83.111137	8.439186	41.25045	5.897945	0
179	82.944915	8.439186	41.133797	6.0146	0
180	82.779025	8.439186	41.017471	6.130924	0
181	82.613467	8.439186	40.901478	6.246919	0
182	82.44824	8.439186	40.785809	6.362587	0
183	82.283343	8.439186	40.670467	6.477927	0
184	82.118777	8.439186	40.555454	6.592941	0
185	81.954539	8.439186	40.440765	6.70763	0
186	81.79063	8.439186	40.326401	6.821994	0
187	81.627049	8.439186	40.21236	6.936035	0
188	81.463795	8.439186	40.09864	7.049754	0
189	81.300867	8.439186	39.985245	7.163151	0
190	81.138265	8.439186	39.872169	7.276227	0
191	80.975989	8.439186	39.759415	7.388984	0
192	80.814037	8.439186	39.646976	7.501421	0
193	80.652409	8.439186	39.534855	7.613541	0
194	80.491104	8.439186	39.423054	7.725344	0
195	80.330122	8.439186	39.311565	7.83683	0
196	80.169462	8.439186	39.200394	7.948001	0
197	80.009123	8.439186	39.089539	8.058858	0
198	79.849104	8.439186	38.978996	8.169401	0
199	79.689406	8.439186	38.868767	8.279632	0
200	79.530027	8.439186	38.758846	8.389551	0
201	79.370967	8.439186	38.649239	8.499159	0
202	79.212225	8.439186	38.53994	8.608457	0
203	79.053801	8.439186	38.43095	8.717446	0
204	78.895693	8.439186	38.322269	8.826127	0
205	78.737902	8.439186	38.213898	8.934501	0
206	78.580426	8.439186	38.105831	9.042568	0
207	78.423265	8.439186	37.99807	9.150329	0
208	78.266419	8.439186	37.890614	9.257786	0
209	78.109886	0	0	0	0
210	78.827518	0	0	0	0
211	79.515067	0	0	0	0
212	80.173796	0	0	0	0
213	80.804909	0	0	0	0
214	81.40957	0	0	0	0
215	81.988884	0	0	0	0
216	82.543909	0	0	0	0
217	83.075665	0	0	0	0
218	83.585134	0	0	0	0
219	84.073246	0	0	0	0
220	84.540899	0	0	0	0
221	84.988945	0	0	0	0
